C. Autónoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Castilla y León,Palencia,Piso,Calle Valverde 8,60,2,92000
Castilla y León,Palencia,Piso,Calle Maria de Padilla 1,77,2,120000
Castilla y León,Palencia,Piso,Calle Alonso Fernandez de Madrid,120,3,205000
Castilla y León,Palencia,Piso,Calle Eras del Bosque 13,104,3,110000
Castilla y León,Palencia,Chalet,Calle el Oro 16,53,1,48000
Castilla y León,Palencia,Piso,Calle San Quintin 3,104,3,128000
Castilla y León,Palencia,Piso,Calle Don Pelayo 18,93,3,99500
Castilla y León,Palencia,Piso,Avenida de Cuba 15,80,3,149900
Castilla y León,Palencia,Piso,Calle Batalla del Tamaron 11,62,2,83500
Castilla y León,Palencia,Piso,Avenida Campos Goticos 59,113,3,124500
Castilla y León,Palencia,Piso,Calle Luis Vives 12,50,1,79900
Castilla y León,Palencia,Piso,Paseo Victorio Macho 38,73,2,89000
Castilla y León,Palencia,Piso,Calle Francisco Pizarro,68,2,94900
Castilla y León,Palencia,Atico,Calle Juan Antonio Bardem 50,62,2,175000
Castilla y León,Palencia,Piso,Calle Doctor Diaz Caneja,98,3,163000
Castilla y León,Palencia,Piso,Calle los Olmos 5,89,3,115000
Castilla y León,Palencia,Piso,Centro,117,3,179000
Castilla y León,Palencia,Chalet,Calle Mangarres 4,55,5,375000
Castilla y León,Palencia,Piso,Cardenal Cisneros,176,5,189000
Castilla y León,Palencia,Piso,Cardenal Cisneros,176,5,155000
Castilla y León,Palencia,Casa Rural,Calle Corral del Cura 8,123,4,43000
Castilla y León,Palencia,Piso,Corral de la Cerera,116,3,164000
Castilla y León,Palencia,Atico,Mayor 80,108,3,297000
Castilla y León,Palencia,Piso,Avenida Santander 51,82,3,159000
Castilla y León,Palencia,Piso,Paseo Victorio Macho 44,70,3,90000
Castilla y León,Palencia,Piso,Calle Barrio del Milagro,94,3,90000
Castilla y León,Palencia,Piso,Avenida Derechos Humanos 16,100,3,185000
Castilla y León,Palencia,Piso,Calle Mayor Antigua,76,2,80000
Castilla y León,Palencia,Piso,Calle Primera Universidad de Espana,118,3,142000
Castilla y León,Palencia,Piso,P-11,100,3,139000
Castilla y León,Palencia,Atico,Calle de Lola de la Fuente,145,4,370000
Castilla y León,Palencia,Chalet,Calle Pastores,112,3,60000
Castilla y León,Palencia,Piso,Calle de Clara Campoamor s/n,62,2,89000
Castilla y León,Palencia,Piso,Calle los Abetos,78,2,105000
Castilla y León,Palencia,Chalet,Calle Barrio Nuevo,162,5,68500
Castilla y León,Palencia,Piso,Calle la Puebla,153,4,169900
Castilla y León,Palencia,Piso,Calle Arbol del Paraiso 12,109,3,70000
Castilla y León,Palencia,Casa Rural,BAJERA VILLAREN 16,581,8,190000
Castilla y León,Palencia,Piso,Calle las Acacias 13,77,2,25000
Castilla y León,Palencia,Piso,Avenida de Madrid 23,100,3,138000
Castilla y León,Palencia,Piso,Eras del Bosque - S Juanillo,62,2,60000
