Tipo de inmueble,Dirección,Precio,Habitaciones,m2,Provincia,C. Autónoma
Chalet,Calle Torres y Tapia 16,110000,4,132,Badajoz,Extremadura
Ático,Calle Francisco Sansón Moreno,249000,3,100,Badajoz,Extremadura
Piso,Calle DERECHA 1,18000,3,166,Badajoz,Extremadura
Piso,Calle Ángel Quintanilla Ulla 7,238500,3,106,Badajoz,Extremadura
Piso,Jacinta García Hernández,177500,4,123,Badajoz,Extremadura
Piso,Avenida Juan Carlos I Rey de España,239500,3,150,Badajoz,Extremadura
Chalet,Jerez de los Caballeros,224680,7,320,Badajoz,Extremadura
Chalet,Calle Ramón y Cajal,460000,8,318,Badajoz,Extremadura
Piso,Casco Antiguo - Centro,77500,5,100,Badajoz,Extremadura
Chalet,Calle Constantino Lázaro,499999,3,85,Badajoz,Extremadura
Piso,La Estación,69990,1,45,Badajoz,Extremadura
Chalet,Calle el Potreque,159900,5,197,Badajoz,Extremadura
Chalet,Calle Río Záncara,143000,4,121,Badajoz,Extremadura
Chalet,Urbanización Golf Guadiana,430000,6,208,Badajoz,Extremadura
Chalet,Calle Don Miguel Arias,109000,4,149,Badajoz,Extremadura
Chalet,Diseminado Diseminados,195000,3,114,Badajoz,Extremadura
Piso,Travesía Pizarro,124900,4,146,Badajoz,Extremadura
Piso,Santa Marina - La Paz,139000,4,95,Badajoz,Extremadura
Piso,Santa Marina - La Paz,110000,3,84,Badajoz,Extremadura
 29,824800322,Calle Guillermo Soto,29,660,Badajoz,Extremadura
 29,824800322,Calle Guillermo Soto,29,566,Badajoz,Extremadura
 29,824800322,Calle Guillermo Soto,29,689,Badajoz,Extremadura
Chalet,Don Benito,450000,5,165,Badajoz,Extremadura
Chalet,Medellin,180000,8,381,Badajoz,Extremadura
Piso,Maria Auxiliadora - Barriada LLera,180000,4,137,Badajoz,Extremadura
Piso,Santa Marina - La Paz,165000,3,92,Badajoz,Extremadura
Casa Rural,Calle nueva,590000,10,587,Badajoz,Extremadura
Duplex,Diego Barrena,137000,3,108,Badajoz,Extremadura
Piso,Avenida Damián Téllez Lafuente,128000,2,78,Badajoz,Extremadura
Piso,Huerta Rosales - Valdepasillas,177500,4,111,Badajoz,Extremadura
Duplex,Calle Doctor Lobato,119000,4,154,Badajoz,Extremadura
Chalet,Calle de las Huertas,229500,5,550,Badajoz,Extremadura
Piso,Avenida Del Prado 4,79000,2,70,Badajoz,Extremadura
Ático,Avenida Del Prado 4,111600,2,70,Badajoz,Extremadura
Piso,Avenida Del Prado 4,109600,3,70,Badajoz,Extremadura
Casa Rural,DOCTOR FLEMING,59975,3,91,Badajoz,Extremadura
Casa Rural,Avenida EXTREMADURA,65000,4,133,Badajoz,Extremadura
Chalet,Asomadilla,103000,6,1089,Badajoz,Extremadura
Ático,La Estación,140000,4,123,Badajoz,Extremadura
Ático,Argüello Carvajal Teologo Siglo XVII,140000,4,123,Badajoz,Extremadura
Chalet,Avenida Luis Jacinto Ramallo García s/n,98000,4,550,Badajoz,Extremadura
