Provincia,Id del anuncio,Título,Tipo de inmueble,Descripción,Teléfono,Dirección,Precio,Habitaciones
Islas Baleares,101738812,Ático,Ático,"Impresionante ático dúplex en venta en la exclusiva urbanización cerrada de Bendinat - zona muy cotizada a las afueras de Palma - con vistas panorámicas de 360º. La lujosa propiedad se distribuye en 2 niveles. La planta principal consta de un acogedor hall de entrada, amplio salón / comedor, cocina semi-abierta equipada, lavadero adyacente con almacenamiento marino, 3 amplios dormitorios con profundos y elegantes armarios empotrados y 3 baños modernos. El salón se abre a una gran terraza cubierta con zona de estar/comedor y, por supuesto, ¡vistas de postal! La planta superior ofrece una azotea privada de 262 m2 con cocina de verano cubierta, casita totalmente acristalada, ducha y sistema de sonido de alta resolución. El lugar perfecto para relajarse al sol o cenar con la familia y los amigos en total intimidad. El tranquilo complejo residencial, con conserje y sistema de seguridad comunitario, ofrece hermosos jardines, gran piscina exterior, piscina cubierta climatizada y sauna.  Características adicionales: 2 plazas de aparcamiento subterráneos, trastero, sistema de filtración de agua por ósmosis, A/C reversible, ventanas de doble acristalamiento, suelos de mármol, armarios empotrados de madera lacada en pasillos y dormitorios, wi-fi gratuito en el complejo, antenas parabólicas, 4 persianas eléctricas para aun disfrutar de la terraza del piso.",871240669,Portals Nous - Bendinat,2650000,3
Islas Baleares,99388702,Dúplex en Calle de Cartago,Duplex,"En una de las mejores zonas de la Playa de Palma encontramos este fabuloso dúplex de nueva construcción y con unas vistas espectaculares al mar debido a su privilegiada situación en primera línea del mar. La propiedad cuenta con 203 m2 construidos, con terrazas, escaleras y ascensor privado. El primer nivel de este dúplex está compuesto por un espacio abierto resaltando las singulares vistas al Mar Mediterráneo con una moderna cocina estilo americano ya equipada con enseres de alta gama. En esta primera planta también se localiza una terraza exterior, un baño completo y una coladuría. En la planta intermedia encontramos dos espaciosas habitaciones con armarios empotrados, dos modernos baños y una habitación principal con recibidor, armario empotrado y vistas directas al Mar Mediterráneo, además de comunicar con una terraza de 22,50 m2.  Ya en la planta superior obtenemos una amplía terraza con barbacoa de obra y unas vistas a un entorno privilegiado. La vivienda destaca por su luminosidad y calidez gracias a las amplías cristaleras que la inundan de luz solar. Todas las estancias cuentan con climatización por split. La cercanía al emblemático centro de Palma y aeropuerto logran que con este espectacular dúplex se puedan disfrutar de todas las ventajas de vivir en Mallorca y sus comodidades. “Este inmueble ha sido certificado por ABSI (Asociación Balear de Servicios Inmobiliarios) lo que significa que la agencia comercializadora ha supervisado la documentación necesaria para la compraventa y que el inmueble forma parte de las propiedades en multiexclusiva ABSI. ”.",871240625,Calle de Cartago,1595000,3
Islas Baleares,98956261,Piso en Plaza d'Espanya,Piso,"Piso de lujo en venta con aparcamiento en el centro de Palma Reformado con primeras calidades, balcón y vistas despejadas  Este espectacular piso situado en un edificio céntrico de la ciudad, con excelentes comunicaciones y con el privilegio de estrenar una reforma realizada con un gusto exquisito, materiales de primera calidad, con estancias amplias y luminosas en las que destacan su funcionalidad, comodidad y gran belleza, está situado en la cuarta planta de una finca que cuenta con dos ascensores y acceso directo a su plaza de aparcamiento, La magnífica vivienda amueblada suma casi 208 m² distribuidos entre el salón comedor acristalado con aislamiento térmico y acústico de primera línea, un aseo de cortesía, lavadero con espacio destinado a la instalación de los equipos de la bomba frío/calor de la vivienda, un dormitorio con baño en suite y otro también con baño en suite más vestidor, todo ello con materiales nobles, y la cocina, equipada con electrodomésticos de alta gama, que cuenta con una práctica y elegante isla y destaca por su luz natural y el acceso a un balcón con vistas despejadas. Distribución. El edificio cuenta con portero y 2 ascensores. Salón comedor amplio, con acceso a balcón exterior que irradia la luminosidad y el sol a toda la estancia a través de sus 3 ventanales en carpintería de aluminio y doble acristalamiento térmico, vistas despejadas a la Plaza España, aseo de cortesía, coladuría y sitio destinado a aparatos de aire acondicionado, pasillo con armarios a ambos lados en todo su recorrido, 1 dormitorios master con armarios forrados y baño con plato de ducha y mampara, con lavabos de doble seno y extraordinarias y otros 2 dormitorios dobles también con armarios y que comparten baño de gran confort y prestaciones. Electrodomésticos Siemenes, Bora, isla amueblada y equipada en el medio de la maravillosa estancia salón - cocina - comedor. Portero automático. Lujo, excelencia, comodidad, confort y prestigio en esta vivienda que deslumbra por su amplitud y por su luz. ¿Te imaginas vivir aquí? ¡Esperamos tu llamada!",871240727,Plaza d'Espanya,995000,3
Islas Baleares,101794619,Ático en Avenida Mèxic,Ático,"Ático en venta a estrenar con vistas al mar en Portixol Precioso apartamento luminoso con piscina y garaje junto al nuevo distrito cultural en Nou Llevant Al sureste de la ciudad, en una zona en pleno desarrollo y ubicado en un emplazamiento estratégico e innovador se encuentra este precioso ático con vistas al mar y a pocos minutos del Portixol. La vivienda nueva a estrenar en un complejo residencial de lujo consta de amplio y luminoso salón comedor abierto a la cocina y dando paso a una preciosa terraza que recorre toda la vivienda con espectaculares vistas al mar, la zona de noche se compone de dos dormitorios uno de ellos con baño en suite. La modernidad y el buen gusto definen esta propiedad con excelentes calidades y un equipamiento que incluye splits de aire acondicionado en toda la vivienda, sistema de aerotermia centralizada, carpinteria exterior de aluminio con rotura de puente térmico y doble acristalamiento, carpinteria interior de madera lacada en blanco y armarios empotrados en todas las estancias. En la azotea comunitaria del edificio se encuentra un sistema fotovoltaico para un mayor ahorro energético. Este precioso complejo residencial dispone en la planta superior, con vistas panorámicas al mar y montañas, de una gran terraza y piscina con cascada de agua. El precio del inmueble incluye también una plaza de aparcamiento de grandes dimensiones y también un amplio trastero. No pierda la oportunidad de vivir en el PORTIXOL, uno de los barrios más cotizados entre la ciudad y el mar, considerado nuevo distrito cultural con el PALACIO DE CONGRESOS, la futura sede de la ORQUESTA SINFÓNICA DE BALEARES, la fundación RAFA NADAL y todos los servicios a su alcance, amplia oferta gastronómica y con muy fácil acceso al aeropuerto. Se imgina vivir aqui? No dude en concertar una visita, será un placer atenderle.",871240727,Avenida Mèxic,625000,2
Islas Baleares,99819924,Chalet adosado,Chalet,"Chalet amplio con gran jardín privado en Cas Catalá a pocos metros de la playa y del campo del Golf Bendinat. Este chalet está distribuido en jardín privado en su parte delantera, entrada a garaje y puerta principal, nos encontramos con un amplio salón-comedor con chimenea, cocina amplia totalmente amueblada y equipada con salida a gran terraza aporchada con BBQ que se comunica también con el salón-comedor, desde esta terraza se baja al gran jardín llenos de frondosa vegetación y casita de jardín para los utensilios del jardín. Una puerta nos lleva hasta la piscina comunitaria, de este pequeño complejo de solo siete vecinos. En el jardín encontramos  limonero, platanera, palmera, un granado, etc.   Desde el salón a través de unos pocos escalones se sube a dormitorio y baño completo, la misma escalera baja desde el salón  a los tres dormitorios con armarios empotrados y dos baños uno en suite y el otro con bañera, las habitaciones tienen todas vistas al jardín privado ofreciendo a parte de la hermosa vista de palmera y platanera entre otras plantas una total privacidad. Además en esta planta se encuentra una gran habitación de 40 m2 que se destina a cuarto plancha y almacenaje. Equipamiento: garaje, chimenea, BBQ, calefacción.  Situación inmejorable, en segunda linea de mar a tan solo 100 metros de la playa y de los servicios. como supermercado, farmacia, restaurates, etc. A tan solo 10 minutos en coche de Palma Centro y de Puerto Portals.",871240902,Cas Catala,848000,4
Islas Baleares,99486725,"Chalet adosado en Estany D´en Mas, 11",Chalet,"Magnifico chalet adosado en cala Romantica, integrada en un residencial con zonas comunes y piscina. Acceso desde 2 calles (paseo Estany y calle Mendia) y a 350m de la playa. Año de construcción 2005. Tiene unos 127m2 s. c distribuido en 2 plantas, la principal se distribuye en pequeño hall, salon comedor con cocina abierta y totalmente equipada y acceso a terraza con bonitas y despejadas vistas panorámicas a las zonas comunes y un aseo de cortesía. En la planta superior 2 dormitorios dobles, con armarios empotrados y 2 baños completos (1 en suite) con acceso a la terraza de la azotea, desde donde se disfruta de unas maravillosas vistas. La casa dispone de AA frio calor en comedor y dormitorios. Garaje en la entrada de la casa. Dispone de un jardin propio de unos 54m2.  .",960376726,"ESTANY D´EN MAS, 11",420000,2
Islas Baleares,101619336,Piso en Avenida del Comte de Sallent,Piso,"Centro. Piso de diseño de unos 186m2 aproximadamente en pleno centro de Palma. Esta amplia vivienda consta de un amplio salón comedor con cocina integrada con isla totalmente amueblada, 3 habitaciones dobles, armarios empotrados, 2 baños (1 en suite), aseo, coladuria, suelos porcelánicos, aire acondicionado frío/calor por conducto, carpintería interior lacada en blanco, trastero, garaje opcional. Primeras calidades. Finca con ascensor y video- portero.",871240801,Avenida del Comte de Sallent,950000,3
Islas Baleares,98539304,"Chalet adosado en Bell Puig, 35",Chalet,"Inmobiliaria b&m les ofrece en exclusiva este impecable y atractivo adosado, totalmente reformado, con muy buenas calidades en un complejo urbanístico con piscina comunitaria, en zona residencial muy tranquila, cercano a la playa de la Bugambilia y a comercios. Caminando se tarda cinco minutos. Consta de planta principal con cocina, esta tiene una parte independiente y otra abierta al amplio salón comedor en dos ambientes desde donde se accede a una amplia terraza, muy agradable, para poder pasar gran parte del día y donde poder comer y cenar al aire libre. También hay un aseo muy práctico en esta planta.  En la parte de acceso a la vivienda se puede ver el patio, con una superficie de cincuenta metros cuadrados, con una jardinera. La planta baja tiene un garaje grande para dos coches, el lavadero y un trastero.  En la planta superior se encuentran los dormitorios, todos con armarios empotrados, hay tres, dos de ellos dobles y uno individual. La habitación principal tiene acceso a un balcón y tiene baño en suite con ducha y el aseo independiente.  Es una vivienda muy luminosa y muy bien distribuida, amueblada, con muebles prácticos y bonitos. En el salón hay una pantalla de televisión XXL, tipo cine, con altavoces especiales.  Hay calefacción central y aire acondicionado. Tiene estupendas ventanas con mosquiteras. Optimas instalaciones tanto eléctrica como las tuberías. Todo tipo de detalles prácticos.  Amueblado y equipado. la cocina equipada con electrodomésticos de las mejores marcas.  Ideal para vivir una familia permanentemente o para pasar las vacaciones. Las zonas de Cas Catalá y Bendinat pertenecen al Municipio de Calviá. Son zonas residenciales de gran prestigio, ideales como residencia permanente o como lugar de vacaciones. Muy bien conectadas con la ciudad de Palma, con una población local y cosmopolita.  A pocos minutos de Cas Catalá, se encuentra la zona comercial y de servicios de San Agustín, con su puerto deportivo de Cala Nova, la playa de Illetas, así como la población de Portals Nous, el exclusivo Anchorage Club y los puertos deportivos de Puerto Portals y varios colegios internacionales. La zona tiene la ventaja añadida de un campo de golf muy próximo, el Real Golf de Bendinat.",871240667,"Bell Puig, 35",790000,3
Islas Baleares,101751872,"Piso en Plaza d'Espanya, 1",Piso,"Espectacular piso totalmente renovado en pleno Centro de Palma. Vivienda de diseño de 3 dormitorios consta de 186 metros cuadrados de superficie aproximadamente. Este moderno piso dispone de un amplio salón comedor con cocina integrada con isla, totalmente amueblada y equipada, 3 habitaciones dobles, dos de la cuales cuentan con armarios empotrados, 2 baños (1 en suite), un aseo, coladuria. Los acabados son de primera calidad, los suelos son porcelánicos de gran formato, la climatización es por rejilla y disponde de aire acondicionado frío y bomba de calor. La carpintería interior es de alta calidad en blanco lacado. Dentro del precio de venta se incluye una plaza de garaje en la misma finca. El edificio dispone de ascensor y video-portero. Características básicas 186 m² construidos 3 habitaciones 2 baños 1 aseo Terraza Plaza de garaje NO incluida, el precio de la plaza es de 70.000 euros. Segunda mano/buen estado Armarios empotrados Planta 4ª exterior Con ascensor Aire acondicionado/ Bomba de calor Certificado energético Consumo: 68,82 kWh/m² año Emisiones: 21,61 kg CO2/m² año.",871240274,"Plaza d'Espanya, 1",950000,3
Islas Baleares,102172865,Piso en Calle de Bover,Piso,"Sky Solutions comercializa estupendo 5º piso CON ASCENSOR. La propiedad fue totalmente renovada en 2017 utilizando materiales de primera calidad, lo que garantiza un ambiente acogedor y confortable. Ubicado en el encantador barrio de Santa Catalina, en el corazón de Palma, se encuentra este precioso y luminoso piso listo para que puedas comenzar una nueva vida. Cuenta con una superficie de 117 m2, que se distribuyen en: - Amplio y luminoso Salón-comedor de 22 m2 con salida a terraza  - Cocina independiente con acceso a la coladuría - 4 Dormitorios amplios con armarios empotrados (2 de ellos con salida al balcón) - 2 baños completos con plato ducha POSIBILIDAD DE ADQUIRIR PARKING Y TRASTERO EN EDIFICIO CERCANO! La cocina, completamente amueblada y equipada, cuenta con un sistema de osmosis y descalcificación de agua, para garantizar una calidad excepcional. Los cuatro dormitorios son espaciosos y luminosos, con dos de ellos ofreciendo acceso a otro balcón y equipados con armarios empotrados que proveen un óptimo espacio de almacenamiento. Los dos baños completos con plato de ducha ofrecen comodidad y funcionalidad. Entre las características adicionales se encuentran las ventanas de aluminio de doble cristal, las tradicionales persianas mallorquinas de madera, y el aire acondicionado en el salón y dormitorio principal, que aseguran un ambiente agradable en todas las estaciones. La finca cuenta con ascensor y silla salva escaleras, lo que garantiza accesibilidad para todos. Además, existe la posibilidad de adquirir una plaza de aparcamiento y un trastero, para mayor comodidad. Si sueñas con vivir en una zona céntrica de la ciudad, a pocos pasos de una amplia variedad de comercios, escuelas, centro de salud y con un cómodo acceso a la autopista, no dudes en contactarnos para concertar una visita sin ningún compromiso.  SKY SOLUTIONS cuida de sus clientes proporcionando un servicio individual y personalizado. Contamos con: -Departamento inmobiliario, cubriendo todo el proceso de Compraventa del inmueble. -Departamento financiero, inscritos en Banco de España, pudiendo conseguir las mejores condiciones hipotecarias. No dudes en consultar si buscas hipoteca o mejorar tus condiciones de financiación. -Gabinete Jurídico propio, posicionado entre los mejores despachos de Madrid y Palma de Mallorca, que garantizará el éxito de compraventas complicadas como HERENCIAS, extinciones de condominio, divorcios, etc. -Departamento de DESCALIFICACION de Viviendas de Protección.",871240271,Calle de Bover,386000,4
