Tipo de inmueble,Dirección,Precio,Habitaciones
Chalet,Zapateira,600000,3
Duplex,Doctor Corbal,295000,4
Ático,Calle Colón 11,1500000,3
Chalet,Calle da Zapateira,600000,3
Piso,barrio As Travesas - Balaídos,680000,3
Piso,Calle de Alfonso XIII,265000,2
Piso,Calle Enrique Blein Budiño,449000,4
Piso,Calle Vigo 14,345000,2
Chalet,barrio Oia,1100000,4
Piso,Sanxenxo,1399900,5
Chalet,Calle do Arquitecto Antonio Cominges,2500000,4
Piso,Calle San Salvador,320000,4
Chalet,Calle Melide,600000,6
Piso,Calle de Urzaiz 89,239000,3
Piso,Calle Enrique Blein Budiño,449000,4
Chalet,Recarei 7,370000,4
Duplex,Calle ECUADOR 21 Vigo 21,482550,3
Piso,Plaza de Portugal,350000,3
Chalet,Magalans 51,324995,4
Piso,Calle Zamora,320000,3
Duplex,Via Norte,295000,3
Piso,Calle Inés Pérez de Ceta,290000,3
Piso,Calle de García Barbón,339000,3
Piso,Calle de Ricardo Santos,245000,2
Chalet,Calle Cabalaria 16,750000,8
Chalet,Carretera do Vao 71,749000,6
Piso,Avenida Gran Via,550000,5
Piso,Calle Progreso,235000,2
Ático,Travesía Naia,150000,3
Chalet,Lugar Arra 12 A,699000,4
Piso,Calle San Salvador,320000,4
Piso,Calle Vigo,295000,2
Chalet,Camino de Canelas 48,1200000,5
Piso,Calle de María Berdiales,220000,3
Piso,Calle Ricardo Santos 6,249000,2
Chalet,Calle Seixalvo,650000,4
Piso,torrecedeira,190000,2
Chalet,Punta Cabicastro,450000,3
Chalet,Calle Carlos Maside,525000,5
Piso,Calle da Coruña 20,210000,2
Ático,Calle da Falperra,152500,2
Piso,Calle Empalme 7 A,91700,1
Chalet,Camino do Portiño,1199900,5
Chalet,Teis,225000,4
Ático,barrio Casablanca - Calvario,195000,3
Piso,Calle do Ecuador,349000,3
Piso,barrio O Castro,348000,4
Piso,barrio Centro - Areal,230000,3
Chalet,Sanxenxo,750000,4
Chalet,Arquitecto Antonio Cominges,2500000,4
Piso,Pizarro,170000,2
Piso,Avenida Gran Via,235000,2
Chalet,Alcabre,785000,4
Piso,Avenida do Fragoso,209000,3
Piso,Travesía José Fariña Jamardo 5,239000,2
Piso,Avenida das Camelias,405000,4
Estudio,Torrecedeira,130000,0
Piso,Avenida das Camelias,400000,5
Chalet,Bordóns-Dorrón,555000,4
Chalet,Calle do Arquitecto Antonio Cominges,2995000,6
Piso,Calle da Coruña,250000,3
Chalet,LUGAR AREAS BORDONS,609000,4
Chalet,Avenida das Camelias,600000,5
Piso,Calle Tomás A. Alonso,198000,3
Piso,Calle Velázquez Moreno,585000,4
Piso,Calle Mercedes Núñez Targa s/n,260000,3
Piso,Travesía de Vigo,152000,2
Piso,Calle Policarpo Sanz 1,300000,2
Piso,barrio Centro - Areal,720000,3
Ático,Via gran,399000,7
Chalet,Calle Figueiro,775000,6
Chalet,baixada portiño,1200000,5
Piso,Avenida das Camelias 18,118500,1
Piso,Travesía de Vigo 15,150000,3
Piso,Venezuela,485000,4
Piso,Paseo Praia de Silgar,230000,2
Duplex,coruña,270000,6
Chalet,Carretera da Balsa,520000,6
Piso,Calle Mercedes Núñez Targa s/n,233000,2
Piso,barrio Centro - Areal,410000,3
Duplex,Calle Padre Seixas,299000,4
Piso,Calle México 44,250000,3
Chalet,Camino do Turido,785000,4
Piso,Calle Inés Pérez de Ceta,280000,2
Piso,Calle do Ecuador,255000,4
Chalet,Candean - Cabral,350000,4
Piso,barrio Pz Independencia,160000,2
Chalet,barrio Coruxo,370000,4
Chalet,Lavadores,215000,5
Piso,Calle de García Barbón,520000,4
Piso,Adina-Portonovo,179000,2
Piso,Calle Ricardo Santos,250000,2
Piso,Calle Ricardo Santos,265000,2
Chalet,barrio Plaza España - Corte Inglés,350000,3
Chalet,Castrelos - Sárdoma,590000,3
Piso,barrio Centro - Areal,360000,3
Piso,barrio Plaza España - Corte Inglés,279000,4
Piso,barrio O Castro,250000,2
Ático,Travesía de Vigo,125000,2
Piso,barrio Pz Independencia,220000,2
Piso,Sanxenxo,180000,3
Ático,Vilar,108000,2
Piso,Calle do Conde de Torrecedeira,260000,3
Casa Rural,Finca Remesal,1400000,7
Duplex,Plaza Francisco Fernández del Riego,330000,2
Chalet,Baixada á Praia,850000,5
Chalet,Ponte,395000,2
Chalet,Lugar Montalvo 1,600000,8
Chalet,Calle Freixo los Abetos,1200000,6
Duplex,Nicaragua,470000,4
Chalet,Via Pola,580000,5
Duplex,Calle de Lugo,260000,5
Piso,Paseo Praia de Silgar,350000,4
Chalet,Lugar a Poza 14,398000,3
Piso,Calle Revolta Noalla 3,155000,2
Ático,Calle de Madrid 15,365000,3
Piso,Avenida Gran Via,450000,5
Ático,Calle do Sol 56,110000,2
Chalet,Lugar Areas,609000,4
Piso,Calle Castelao 188,282000,3
Chalet,Ensenada La Toja,310000,5
Piso,eugenio arbones 5,185000,2
Piso,Calle Revolta Noalla,155000,2
Ático,Calle Fonte de Ons,175000,2
Ático,Calle Vigo,275000,2
Piso,Lugar Revel,155000,3
Chalet,Gondomar,547000,4
Chalet,Lugar Cachada,325000,3
Piso,Calle CALVARIOS 4,310000,2
Piso,Calle Santa Catalina 12,199000,3
Chalet,Avenida Monteferro,760000,7
Piso,1ª Travesía de Santiago de Vigo 11,425000,2
Chalet,aios noalla,475000,5
Chalet,Bordones s/n,530000,3
Piso,Calle dos Mariñeiros,185000,3
Chalet,Bordons,399999,4
Chalet,Calle San Antón,1300000,7
Ático,Calle Vigo,285000,3
Ático,Calle Do Profesor Hermida,350000,2
Chalet,barrio Oia,450000,3
Piso,Paseo Praia de Silgar,499000,3
Piso,Calle da Coruña,250000,3
Chalet,Bueu,852000,4
Chalet,Alexandre Boveda,299000,6
