Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Avenida Plasencia,98000,3
Piso,Avenida del Salobrar,64000,4
Piso,Calle Joaquín Alcalde,132900,4
Piso,Calle Jerte,55000,3
Duplex,Avenida Constitución,210000,4
Casa Rural,Pasaron de la Vera,299000,8
Duplex,Casco Antiguo,128000,2
Chalet,Navaconcejo,385000,3
Ático,Calle Diego María Crehuet,259000,4
Piso,Avenida de la Vera,105000,3
Chalet,Calle Jaguarzo,215000,4
Duplex,Casco Antiguo,149000,3
Piso,Aguas Vivas - La Zambomba,177000,3
Piso,Casco Antiguo,170000,3
Ático,Calle las Grullas,220000,3
Chalet,Calle José Antonio Gabriel y Galán,227000,3
Chalet,Calle Cerro de las Colmenas,184000,4
Piso,Centro,186000,4
Piso,Avenida del Valle,160000,4
Ático,Calle San Pedro,109000,2
Piso,Avenida Cañada Real,149500,4
Piso,barrio Parque del Príncipe - La Madrila,288000,4
Piso,Centro,144000,3
Piso,Centro,129000,4
Piso,Avenida de la Vera,125000,4
Piso,Sur,70000,3
Chalet,Casco Antiguo,2000000,40
Piso,Avenida de la Vera,240000,6
Piso,Calle Cañada Real,159000,4
Piso,Casco Antiguo,139000,2
Duplex,Calle Santo Domingo de Guzmán,168000,4
Piso,Avenida Juan Carlos I,142500,3
Piso,Calle Fernández Rentero,74000,5
Chalet,Calle Victoriano Revelo,300000,5
Piso,Calle Marqués de Oquendo,200000,3
Piso,Calle Jacinto Benavente,55000,4
Chalet,Avenida del Tietar,185000,5
Chalet,Calle de Santa Ana,95000,3
Chalet,Urbanizacion Residencial Parraluz,260000,4
Chalet,Calle Mártires,35000,3
Piso,Calle Jacinto Benavente,55000,4
Piso,Calle Cañada Real,160000,4
Piso,Calle Santo Domingo de Guzmán,136000,3
Chalet,Travesía Hernán Cortes,185000,5
Chalet,Calle Cabezabellosa,220000,4
Chalet,Calle Molinos,160000,7
Chalet,Calle Campo Arañuelo,185000,4
Piso,Calle Borrego,160000,7
Piso,Avenida del Valle,140000,3
Chalet,Calle José Canalejas,409000,5
Piso,Avenida Alfonso VIII,120000,2
Piso,Calle Andalucia,80000,3
Piso,Calle Julián Besteiro,160000,4
Piso,Ronda del Salvador,142500,4
Piso,Calle Sierra de Tormantos,188000,3
Chalet,Avenida de Plasencia,105000,5
Duplex,Calle Clavero,239000,3
Piso,Calle Claude Simón,80000,3
Chalet,Calle Teodoro Asensio,95000,4
Piso,Avenida Cañada Real,150000,4
Chalet,Calle Olivo-Ur Granados,330000,4
Piso,Travesía San Isidoro,142000,4
Chalet,Torrejon el Rubio,3000000,4
Piso,Ronda del Salvador,82000,2
Piso,Avenida Federico García Lorca 12,147900,3
Casa Rural,Bohonal de Ibor,100000,5
Piso,Zona Sur-Av. de España-San Miguel,75000,3
Chalet,Madroñera,550000,12
Chalet,Casas de Don Gomez,55500,2
Piso,Avenida de la Vera,120000,3
Chalet,Calle Brezo,253000,4
Chalet,Calle de la Fuente,95000,3
Piso,Calle Pablo Iglesias,45000,2
Piso,Calle Toros,85000,3
Chalet,Calle Los Negritos,50000,3
Piso,Avenida Federico García Lorca,123809,2
Piso,Plaza Mayor,140000,3
Chalet,Urbanización Mina,108000,3
Piso,Calle Las Batuecas,107945,2
Chalet,Avenida de Maltravieso s/n s/n,230000,5
Piso,Calle María Auxiliadora 3,223900,3
Piso,Avenida Juan Pablo II 17,176155,2
Piso,Calle Coronel Aureliano Buendía en Macondo s/n,185000,2
Chalet,Calle Perú,129000,3
Piso,Calle Coronel Aureliano Buendía en Macondo s/n,305000,4
Piso,Calle Coronel Aureliano Buendía en Macondo s/n,224000,3
Piso,Avenida Juan Pablo II 17,163958,2
Piso,Avenida Juan Pablo II 17,215970,4
Chalet,ceres golf,535000,5
Piso,Casco Antiguo,95000,2
Casa Rural,Jarandilla de la Vera,1100000,9
Piso,Avenida de Alemania,220000,2
Chalet,Calle Federico Mayor Zaragoza,180000,4
Piso,Plaza de Islandia,167000,3
Piso,Avenida Virgen de la Montaña,205000,4
Piso,Avenida Virgen de la Montaña,205000,4
Chalet,Calle Alcor del Roble,450000,4
Casa Rural,Jarandilla de la Vera,1100000,9
Piso,Calle Huerta del Conde s/n,170300,2
Piso,Calle Huerta del Conde s/n,227200,3
Piso,Calle Huerta del Conde s/n,176500,2
Piso,Casco Antiguo,119000,4
Piso,Calle Cervantes,65000,1
Chalet,barrio El Arco,414000,5
Chalet,Calle Beltrán,230000,4
Piso,Casco Antiguo,310000,6
Piso,Calle Santa Joaquina de Vedruna s/n,220000,4
Casa Rural,Avenida de España 1,275000,2
Piso,Calle Cueva de Altamira 4,180000,3
Piso,Calle Botánico Rivas Mateos,84900,3
Piso,Avenida del Valle,135000,3
Casa Rural,Las ollas s/n,630000,3
Chalet,Calle del Salvador,115000,3
Chalet,Calle San Fernando,97990,4
Chalet,La Narota,150000,3
Duplex,Calle Alonso Hipólito,165000,4
Piso,Camino MOZARABE,190000,3
Duplex,GARCÍA PLATA DE OSMA,265000,5
Chalet,Calle NUEVA,62000,8
Piso,Casco Antiguo,69000,1
Chalet,Calle Real,120000,3
Chalet,Ceres Golf,490000,4
Ático,Calle Médico Sorapán 5,124000,2
Piso,Montesol - Mejostilla,145000,3
Piso,Avenida españa,360000,10
Chalet,Calle Padre Amado 21,99900,4
Piso,parque macondo,240000,4
Piso,Casco Antiguo,75000,2
Chalet,Calle Juan Sebastián Bach s/n,250000,5
Chalet,Calle Juan Sebastián Bach s/n,250000,5
Chalet,Calle Juan Sebastián Bach s/n,250000,5
Piso,Pizarro,125000,1
Piso,Avenida del Valle,220000,4
Piso,Calle Profesor Rodríguez Moñino,169500,3
Piso,Juan Carlos I,190000,4
Chalet,Travesía de Cristobal Oudriz,127000,4
Piso,Santo Domingo de Guzman,168000,4
Chalet,Plaza de españa,298000,4
Chalet,Calle Tolerancia,157000,4
Casa Rural,Herguijuela,750000,5
Piso,Calle Manuel Revilla Castán,124000,4
Piso,Miralvalle-Av. Virgen del Puerto-La Data,69000,4
Chalet,Calle José Canalejas,230000,4
Piso,Montehermoso,85000,4
Casa Rural,Trujillo,2100000,7
Piso,Calle Pedro de Lorenzo s/n,75000,4
Piso,hernan cortes 7,87000,3
Piso,Miralvalle-Av. Virgen del Puerto-La Data,149500,4
Chalet,Casco Antiguo,139000,5
Piso,Calle Santa Lucia,55000,3
Piso,Calle DIEGO MARIA CREHUET,159000,2
Chalet,Perales del Puerto,36000,3
Piso,Casco Antiguo,69900,3
Chalet,Acebo,120000,8
Duplex,Montesol - Mejostilla,199500,3
Piso,Casar de Cáceres,69000,3
Piso,Calle Arturo Aranguren s/n,124000,4
Chalet,urbanización ceres golf s/n,350000,5
Piso,Avenida de la montaña 28,160000,3
Piso,Avenida Isabel de Moctezuma s/n,112000,3
Piso,Centro Ciudad,103000,3
Piso,Calle Arturo Aranguren s/n,124000,4
Chalet,Montesol - Mejostilla,250000,4
Piso,Calle las Avutardas,170000,3
Piso,Avenida de la Constitución,78000,3
Chalet,Trujillo,2100000,7
Piso,Centro Ciudad,149000,4
Piso,Calle Piornal,80000,3
Piso,MARGALLO,70000,2
Casa Rural,Cuacos de Yuste,690000,11
Casa Rural,Torremenga,890000,14
Piso,TRANSHUMANCIA,225000,3
Piso,Centro,210000,3
Piso,Avenida de Alemania 4,215000,5
Casa Rural,Carretera de Conquista a Garciaz s/n,420000,4
Chalet,Campus Universitario,160000,3
Chalet,Plaza Alcalde Antonio Canales,190000,6
Chalet,Centro Ciudad,360000,6
Piso,Calle Argentina,145000,2
Piso,Ronda Sur,95000,3
Piso,Calle Periodista Sánchez Asensio,159000,2
Piso,Ronda del Salvador,75000,2
Piso,Calle Tomás del Barco,75000,3
Chalet,Calle Juan Mora,95000,4
Piso,santo domingo de guzman,136000,3
Chalet,Montehermoso,41000,1
Chalet,Alejandro casona,112000,3
Piso,Ronda del Salvador,135000,3
Piso,Cristobal colon,87000,4
Piso,Calle Juan Correas,59000,1
Piso,Calle Juan Correas,65000,2
Chalet,Montesol - Mejostilla,154000,4
Chalet,Sur,265000,4
Chalet,Sierra de Fuentes,380000,6
Piso,Casco Antiguo,149000,2
Ático,Aguas Vivas - La Zambomba,228000,3
Piso,Aldea Moret - La Cañada,93900,3
Piso,Montesol - Mejostilla,109000,2
Piso,barrio Macondo - Los Castellanos,159900,4
Chalet,Montesol - Mejostilla,264000,3
Chalet,Sierra de Fuentes,380000,6
Ático,Aguas Vivas - La Zambomba,228000,3
Piso,Calle San Pedro de Alcántara,330000,5
Chalet,Zona Sur-Av. de España-San Miguel,198000,3
Piso,Avenida de Hernán Cortés,103000,2
Piso,Calle Julián Murillo,129000,3
Piso,La Granja,69900,2
Piso,Centro,77400,3
Chalet,Plaza coros y danzas virgen del rosario 22,36000,2
Piso,Plaza DE SAN MARTIN s/n,95000,2
Chalet,Aldea Moret - La Cañada,155000,3
Chalet,Calle San Juan del Puerto 27,350000,4
Piso,Centro Ciudad,160000,5
Piso,Calle Paulo el Diácono,260000,3
Piso,Casco Antiguo,110000,3
Piso,Casco Antiguo,149000,5
Chalet,barrio Macondo - Los Castellanos,455000,5
Piso,donantes de sangre,135000,3
Chalet,Centro Ciudad,315000,4
Piso,Montesol - Mejostilla,143990,3
Casa Rural,Brozas,109000,1
Piso,Calle el Torno,50000,3
Piso,Ronda del Salvador,90000,3
Piso,Calle Pedro de Lorenzo,85000,4
Piso,Avenida de la Vera,79000,3
Piso,Montesol - Mejostilla,185000,4
Piso,Casco Antiguo,130000,5
Piso,Zona Sur-Av. de España-San Miguel,87000,4
Piso,Calle Navaconcejo,69000,4
Piso,Calle de Maluquer,100000,3
Piso,damas,62000,2
Piso,Calle Flor 5,24900,3
Piso,Centro,90000,3
Casa Rural,Paraje Piurruyo s/n,185000,3
Casa Rural,Parajes Las Planas s/n,550000,4
Casa Rural,DISEMINADO s/n,3000000,14
Casa Rural,Paraje las planas s/n,690000,7
Ático,Calle Arroyo los castaños s/n,60000,1
Casa Rural,Diseminado Robledillo 1,335000,3
Chalet,Avenida DE LA VERA 45,79800,3
Casa Rural,Calle Horno s/n,150000,6
Chalet,Plaza Santa Ana s/n,135000,3
Chalet,LAS LANCHAS 1,400000,7
Casa Rural,Diseminado los Jaritales,345000,3
Casa Rural,Carretera Aldea Tudal,980000,3
Chalet,URBANIZACIÓN LAS SOLANAS,320000,4
Casa Rural,Carretera DE LA VEGA DEL NIÑO,1680000,10
Piso,Avenida de la Bondad s/n,79500,3
Piso,Sur,170000,3
Chalet,Calle del Agua,349000,5
Chalet,Calle las Grullas,260000,4
Piso,Centro Ciudad,92000,2
Chalet,Urbanización las Solanas s/n,390000,3
Chalet,Calle Pajonal Alto 10,136000,4
Casa Rural,Cl. Santiago 69,65000,3
Casa Rural,Calle Parra,85000,7
Piso,Centro Ciudad,150000,5
Piso,Calle Andrés Valiente Valiente s/n,85000,4
