Provincia,descrip,Precio,Habitaciones
Asturias,Piso,244000,2
Asturias,Chalet,670000,4
Asturias,Piso,588000,3
Asturias,Chalet,309000,4
Asturias,Piso,259000,2
Asturias,Piso,535000,6
Asturias,Piso,168900,3
Asturias,Piso,152000,2
Asturias,Piso,249000,2
Asturias,Piso,108000,3
Asturias,Piso,150000,2
Asturias,Piso,229000,3
Asturias,Piso,185000,3
Asturias,Piso,172500,3
Asturias,Piso,480000,5
Asturias,Piso,450000,2
Asturias,Piso,450000,3
Asturias,Chalet,395000,3
Asturias,Duplex,179000,2
Asturias,Piso,178000,3
Asturias,Chalet,500000,7
Asturias,Duplex,225000,3
Asturias,Chalet,990000,3
Asturias,Piso,125000,3
Asturias,Piso,260000,3
Asturias,Piso,154000,3
Asturias,Piso,380000,4
Asturias,Piso,420000,4
Asturias,Ático,399000,3
Asturias,Piso,298000,3
Asturias,Piso,239000,4
Asturias,Piso,90000,1
Asturias,Piso,180000,3
Asturias,Chalet,680000,5
Asturias,Piso,104900,3
Asturias,Piso,113000,3
Asturias,Piso,270000,3
Asturias,Chalet,690000,4
Asturias,Piso,123000,3
Asturias,Piso,109000,3
Asturias,Piso,209000,2
Asturias,Chalet,800000,7
Asturias,Piso,259000,3
Asturias,Piso,226000,2
Asturias,Chalet,449900,5
Asturias,Piso,105000,2
Asturias,Piso,149000,2
Asturias,Piso,166000,2
Asturias,Piso,179000,6
Asturias,Piso,105000,2
Asturias,Chalet,295000,3
Asturias,Duplex,575000,4
Asturias,Piso,115000,1
Asturias,Chalet,725000,5
Asturias,Piso,360000,4
Asturias,Piso,269950,3
Asturias,Ático,238000,2
Asturias,Chalet,590000,5
Asturias,Piso,340000,3
Asturias,Piso,179000,2
Asturias,Duplex,210000,5
Asturias,Piso,179000,2
Asturias,Piso,119000,2
Asturias,Ático,245000,3
Asturias,Piso,239900,3
Asturias,Piso,73999,2
Asturias,Piso,135000,3
Asturias,Piso,230000,3
Asturias,Piso,378000,3
Asturias,Chalet,174900,3
Asturias,Piso,160000,4
Asturias,Piso,103900,2
Asturias,Piso,159000,4
Asturias,Piso,158000,2
Asturias,Piso,170000,3
Asturias,Chalet,400000,3
Asturias,Piso,129000,3
Asturias,Piso,219000,3
Asturias,Piso,230000,2
Asturias,Piso,129900,3
Asturias,Duplex,599000,4
Asturias,Chalet,455000,5
Asturias,Duplex,449900,4
Asturias,Chalet,495000,4
Asturias,Chalet,259000,4
Asturias,Chalet,399000,6
Asturias,Piso,164000,2
Asturias,Piso,320000,3
Asturias,Chalet,375000,4
Asturias,Piso,280000,5
Asturias,Piso,249900,4
Asturias,Piso,238000,3
Asturias,Piso,240000,4
Asturias,Chalet,995000,7
Asturias,Piso,210000,6
Asturias,Piso,140000,2
Asturias,Piso,178500,3
Asturias,Piso,149500,2
Asturias,Piso,250000,3
Asturias,Piso,379000,5
Asturias,Piso,349000,3
Asturias,Chalet,189500,3
Asturias,Piso,115000,1
Asturias,Piso,128000,2
Asturias,Piso,125000,2
Asturias,Casa Rural,82000,3
Asturias,Piso,175000,3
Asturias,Piso,136000,3
Asturias,Piso,149900,3
Asturias,Piso,118000,3
Asturias,Chalet,560000,4
Asturias,Piso,150000,3
Asturias,Duplex,210000,3
Asturias,Chalet,390000,4
Asturias,Piso,190000,3
Asturias,Piso,209000,3
Asturias,Piso,400000,5
Asturias,Piso,153900,2
Asturias,Piso,329900,4
Asturias,Piso,190000,3
Asturias,Piso,125000,2
Asturias,Piso,183000,2
Asturias,Piso,118000,1
Asturias,Chalet,264500,3
Asturias,Piso,365000,3
Asturias,Chalet,2000000,6
Asturias,Piso,144900,2
Asturias,Piso,89000,2
Asturias,Piso,314900,2
Asturias,Chalet,325000,1
Asturias,Duplex,145900,3
Asturias,Piso,205000,2
Asturias,Ático,445000,5
Asturias,Piso,65000,3
Asturias,Piso,155000,3
Asturias,Piso,312000,3
Asturias,Piso,195000,2
Asturias,Duplex,340000,4
Asturias,Chalet,680000,4
Asturias,Piso,85000,1
Asturias,Chalet,998000,6
Asturias,Piso,495000,4
Asturias,Piso,460000,6
Asturias,Piso,123000,2
Asturias,Piso,157000,2
Asturias,Piso,210000,2
Asturias,Piso,106000,3
Asturias,Piso,175000,3
Asturias,Ático,274000,5
Asturias,Piso,185000,3
Asturias,Piso,79000,1
Asturias,Piso,250000,3
Asturias,Duplex,164000,3
Asturias,Piso,170000,2
Asturias,Ático,1100000,5
Asturias,Piso,165000,3
Asturias,Piso,115000,3
Asturias,Piso,288000,3
Asturias,Piso,310000,3
Asturias,Piso,335000,4
Asturias,Piso,292000,5
Asturias,Chalet,299900,4
Asturias,Piso,330000,4
Asturias,Piso,290000,5
Asturias,Piso,125000,3
Asturias,Piso,130000,3
Asturias,Piso,1200000,7
Asturias,Piso,100000,3
Asturias,Piso,97000,4
Asturias,Piso,220000,3
Asturias,Piso,160000,3
